"ID","StationName","District","Lat","Long"
"270","S Alt-Reinickendorf (Berlin)","Reinickendorf","52.577969","13.349747"
"271","S+U Pankow/Granitzstr. (Berlin)","Pankow","52.566283","13.413058"
"272","U Paracelsus-Bad (Berlin)","Reinickendorf","52.574534","13.347532"
"273","S Warschauer Str. (Berlin)","Friedrichshain-Kreuzberg","52.507748","13.450992"
"274","U Halemweg (Berlin)","Charlottenburg-Wilmersdorf","52.536703","13.286578"
"275","U Jakob-Kaiser-Platz (Berlin)","Charlottenburg-Wilmersdorf","52.536985","13.293661"
"276","U Samariterstr. (Berlin)","Friedrichshain-Kreuzberg","52.514662","13.465347"
"277","U Friedrich-Wilhelm-Platz (Berlin)","Tempelhof-Schöneberg","52.471439","13.328676"
"278","S Ostbahnhof/Erich-Steinfurth-Str. (Berlin)","Friedrichshain-Kreuzberg","52.510507","13.437045"
"279","U Walther-Schreiber-Platz (Berlin)","Steglitz-Zehlendorf","52.464998","13.328409"
"280","U Frankfurter Tor (Berlin)","Friedrichshain-Kreuzberg","52.515079","13.454180"
"281","S Röntgental","Pankow","52.648785","13.513450"
"282","S Bernau-Friedenstal","Pankow","52.669177","13.564685"
"283","S Zepernick","Pankow","52.659218","13.533143"
"284","S Ahrensfelde Bhf (Berlin)","Marzahn-Heissen","52.570177","13.565729"
"285","S Humboldthain (Berlin)","Mitte","52.544742","13.378726"
"286","S Mehrower Allee (Berlin)","Marzahn-Heissen","52.557816","13.554392"
"287","U Reinickendorfer Str. (Berlin)","Mitte","52.539895","13.370393"
"288","U Blissestr. (Berlin)","Charlottenburg-Wilmersdorf","52.486347","13.321618"
"289","S Poelchaustr. (Berlin)","Marzahn-Heissen","52.534751","13.536008"
"290","U Fehrbelliner Platz (Berlin)","Charlottenburg-Wilmersdorf","52.490201","13.314519"
"291","U Weberwiese (Berlin)","Friedrichshain-Kreuzberg","52.516848","13.443278"
"292","S Raoul-Wallenberg-Str. (Berlin)","Marzahn-Heissen","52.550749","13.548392"
"293","U Breitenbachplatz (Berlin)","Charlottenburg-Wilmersdorf","52.467342","13.309276"
"294","S Marzahn (Berlin)","Marzahn-Heissen","52.542853","13.541922"
"295","U Thielplatz (Berlin)","Steglitz-Zehlendorf","52.451000","13.281651"
"296","U Schloßstr. (Berlin)","Steglitz-Zehlendorf","52.461183","13.324836"
"297","S Grünau (Berlin)","Treptow-Köpenick","52.412881","13.574274"
"298","U Mierendorffplatz (Berlin)","Charlottenburg-Wilmersdorf","52.525978","13.305715"
"299","S+U Rathaus Steglitz (Berlin)","Steglitz-Zehlendorf","52.456598","13.321756"
"300","S Spandau Bhf (Berlin)","Spandau","52.534760","13.197652"
"301","S+U Pankow (Berlin)","Pankow","52.567281","13.412279"
"302","S Pankow-Heinersdorf (Berlin)","Pankow","52.577603","13.429090"
"303","U Rathaus Schöneberg (Berlin)","Tempelhof-Schöneberg","52.483332","13.341989"
"304","U Kleistpark (Berlin)","Tempelhof-Schöneberg","52.490845","13.360917"
"305","S Grünbergallee (Berlin)","Treptow-Köpenick","52.399539","13.543222"
"306","S Wollankstr. (Berlin)","Pankow","52.564974","13.393150"
"307","S Messe Süd (Berlin)","Charlottenburg-Wilmersdorf","52.498771","13.270450"
"308","U Schönleinstr. (Berlin)","Friedrichshain-Kreuzberg","52.493179","13.422241"
"309","S Pichelsberg (Berlin)","Charlottenburg-Wilmersdorf","52.510557","13.226748"
"310","U Südstern (Berlin)","Friedrichshain-Kreuzberg","52.489219","13.407685"
"311","S+U Innsbrucker Platz (Berlin)","Tempelhof-Schöneberg","52.478100","13.342875"
"312","S Schöneberg (Berlin)","Tempelhof-Schöneberg","52.479811","13.352848"
"313","U Ullsteinstr. (Berlin)","Tempelhof-Schöneberg","52.453450","13.384771"
"314","S+U Gesundbrunnen Bhf (Berlin)","Mitte","52.549036","13.388045"
"315","U Eisenacher Str. (Berlin)","Tempelhof-Schöneberg","52.489529","13.350276"
"316","U Elsterwerdaer Platz (Berlin) Busendstelle","Marzahn-Heissen","52.506354","13.560528"
"317","U Theodor-Heuss-Platz West (Berlin)","Charlottenburg-Wilmersdorf","52.510088","13.271071"
"318","U Vinetastr. (Berlin)","Pankow","52.559517","13.413770"
"319","U Elsterwerdaer Platz (Berlin) Bus Köpenicker S.","Marzahn-Heissen","52.505350","13.561671"
"320","U Alt-Tegel (Berlin) Bus","Reinickendorf","52.590395","13.282987"
"321","U Konstanzer Str. (Berlin)","Charlottenburg-Wilmersdorf","52.493567","13.310084"
"322","S Nordbahnhof/Gartenstr. (Berlin)","Mitte","52.533360","13.387492"
"323","S Tegel (Berlin) Bus","Reinickendorf","52.588447","13.288507"
"324","U Lipschitzallee (Berlin)","Neukölln","52.424645","13.463109"
"325","S+U Frankfurter Allee (Berlin)","Lichtenberg","52.513613","13.475300"
"326","U Bernauer Str. (Berlin)","Mitte","52.537994","13.396231"
"327","U Johannisthaler Chaussee (Berlin)","Neukölln","52.429253","13.453851"
"328","S+U Warschauer Str. (Berlin)","Friedrichshain-Kreuzberg","52.505889","13.448721"
"329","U Voltastr. (Berlin)","Mitte","52.541930","13.393157"
"330","S Altglienicke (Berlin)","Treptow-Köpenick","52.407791","13.559602"
"331","S Ostkreuz (Berlin)","Friedrichshain-Kreuzberg","52.502851","13.469093"
"332","S Nordbahnhof (Berlin)","Mitte","52.531870","13.388123"
"333","U Strausberger Platz (Berlin)","Friedrichshain-Kreuzberg","52.518025","13.432208"
"334","S Ostbahnhof (Berlin)","Friedrichshain-Kreuzberg","52.510001","13.435747"
"335","S Halensee (Berlin)","Charlottenburg-Wilmersdorf","52.496698","13.290151"
"336","S Birkenstein","Marzahn-Heissen","52.517079","13.648390"
"337","U Rudow (Berlin)","Neukölln","52.415614","13.496734"
"338","S Erkner Bhf/ZOB","Treptow-Köpenick","52.428945","13.754667"
"339","S Schichauweg (Berlin)","Tempelhof-Schöneberg","52.398383","13.390245"
"340","S Lichtenrade (Berlin)","Tempelhof-Schöneberg","52.387161","13.396796"
"341","S Hoppegarten","Marzahn-Heissen","52.518244","13.672964"
"342","S Neuenhagen","Marzahn-Heissen","52.520821","13.698390"
"343","S Erkner Bhf","Treptow-Köpenick","52.428396","13.752249"
"344","U Otisstr. (Berlin)","Reinickendorf","52.571122","13.303074"
"345","U Kurt-Schumacher-Platz (Berlin)","Reinickendorf","52.563483","13.327328"
"346","S Lichterfelde Ost Bhf (Berlin)","Steglitz-Zehlendorf","52.429105","13.328284"
"347","S Marienfelde (Berlin)","Tempelhof-Schöneberg","52.423816","13.375022"
"348","S Waidmannslust (Berlin)","Reinickendorf","52.606814","13.320549"
"349","U Siemensdamm (Berlin)","Spandau","52.537026","13.273323"
"350","U Bundestag (Berlin)","Mitte","52.519908","13.373454"
"351","S Sundgauer Str. (Berlin)","Steglitz-Zehlendorf","52.436187","13.273501"
"352","S Zehlendorf (Berlin)","Steglitz-Zehlendorf","52.431209","13.259227"
